severity,resource_type,resource_name,issue,evidence,recommendation
CRITICAL,Root Account,<root_account>,Root account MFA is disabled,mfa_active=false,Enable MFA on the AWS root account immediately.
HIGH,IAM User,admin,Console password enabled but MFA is disabled,"password_enabled=true, mfa_active=false",Enable MFA for this IAM user or remove console access if not required.
CRITICAL,IAM User,admin,User has AWS managed AdministratorAccess policy attached,arn:aws:iam::aws:policy/AdministratorAccess,Remove AdministratorAccess and replace it with least-privilege permissions.
HIGH,IAM Role,AWSReservedSSO_AWSAdministratorAccess_90f3d0f5ebf12122,Role has AWS managed AdministratorAccess policy attached,arn:aws:iam::aws:policy/AdministratorAccess,Use least-privilege permissions instead of AdministratorAccess.
MEDIUM,IAM Role Inline Policy,AWSReservedSSO_AWSServiceCatalogEndUserAccess_c7d891931deb5deb/AwsSSOInlinePolicy,Inline policy contains wildcard permissions,Wildcard resource: *,Review the role policy and reduce wildcard permissions where possible.
MEDIUM,Managed Policy,AWSControlTowerAdminPolicy,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSConfigRoleForOrganizations,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSSSOServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSOrganizationsServiceTrustPolicy,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSServiceCatalogAdminFullAccess,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSTrustedAdvisorServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
CRITICAL,Managed Policy,AdministratorAccess,Managed policy allows all actions on all resources,arn:aws:iam::aws:policy/AdministratorAccess,Replace broad admin permissions with least-privilege permissions.
MEDIUM,Managed Policy,AdministratorAccess,Managed policy contains wildcard permissions,Wildcard action: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSSupportServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSServiceCatalogEndUserFullAccess,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,ViewOnlyAccess,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AmazonSQSFullAccess,Managed policy contains wildcard permissions,Wildcard action: sqs:*; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,IAMUserChangePassword,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,PowerUserAccess,Managed policy contains wildcard permissions,Uses Allow with NotAction; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,CloudTrailServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard action: cloudtrail:*; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSOrganizationsFullAccess,Managed policy contains wildcard permissions,Wildcard action: organizations:*; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AmazonS3FullAccess,Managed policy contains wildcard permissions,Wildcard action: s3:*; Wildcard action: s3-object-lambda:*; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSControlTowerIdentityCenterManagementPolicy,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSCloudTrail_FullAccess,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard action: cloudtrail:*; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSResourceExplorerServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,CloudFormationStackSetsOrgAdminServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AmazonDocDBElasticFullAccess,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
MEDIUM,Managed Policy,AWSControlTowerServiceRolePolicy,Managed policy contains wildcard permissions,Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *; Wildcard resource: *,Review whether the wildcard permissions are required.
